time,duty_cycle
15:10:29,0.5
15:10:34,0.5
15:10:39,0.5
15:10:44,0.5
15:11:13,0.5
15:11:18,0.5
15:11:23,0.5
15:11:28,0.5
15:11:33,0.5
15:11:38,0.5
15:11:43,0.5
15:11:48,0.5
15:11:53,0.5
15:11:58,0.5
15:12:03,0.5
15:12:26,0.5
15:12:31,0.5
15:12:36,0.5
15:12:41,0.5
15:12:46,1.0
15:12:51,1.0
15:12:56,1.0
15:13:01,1.0
15:13:06,1.0
15:13:11,0.5
15:13:16,0.5
15:13:21,0.5
15:13:26,0.0
15:13:31,0.0
15:13:36,0.0
15:13:41,0.5
15:13:46,0.0
15:13:51,0.5
15:13:56,0.5
15:14:01,1.0
15:14:06,0.5
15:14:11,0.5
15:14:16,0.5
15:14:21,0.5
15:14:26,0.5
15:14:31,0.5
15:14:36,0.0
15:14:41,0.0
15:14:46,0.5
15:14:51,1.0
15:14:56,0.5
15:15:01,0.5
15:15:06,0.5
15:15:11,0.5
15:15:16,0.5
15:15:21,0.5
15:15:26,0.5
15:15:31,0.5
15:15:36,0.5
15:15:41,0.5
15:15:46,0.5
15:15:51,0.5
15:15:56,0.5
15:16:01,0.5
15:16:06,0.5
