time,duty_cycle
11:14:55,0.5
11:14:57,1.0
11:14:59,0.5
11:15:01,1.0
11:15:03,1
11:15:05,0.5
11:15:08,1.0
11:15:10,0.5
11:15:12,1.0
11:15:14,1.0
11:15:16,1.0
11:15:18,1.0
11:15:20,1
11:15:22,1
11:15:24,0.5
11:15:26,1.0
11:15:28,0.5
11:15:30,0
11:15:32,0.5
11:15:34,0
11:15:36,0
11:15:38,0
11:15:40,0
11:15:42,0
11:15:44,0
11:15:46,0
11:15:48,0
11:15:50,0
11:15:52,0
11:15:54,0
11:15:56,0.5
11:15:58,0.5
11:16:00,0
11:16:02,0.5
11:16:04,0.5
11:16:06,0.5
11:16:08,0.5
11:16:10,0.5
11:16:12,0
11:16:14,0
11:16:16,0
11:16:18,0.5
11:16:20,0.5
11:16:22,0.5
11:16:24,0.5
11:16:26,1.0
11:16:28,0.5
11:16:30,0.5
11:16:32,0.5
11:16:34,0.5
11:16:36,1.0
11:16:38,1.0
11:16:40,1.0
11:16:42,1.0
11:16:44,1
11:16:46,1
11:16:48,0.5
11:16:50,1.0
11:16:52,1.0
11:16:54,1
11:16:56,1
11:16:58,1
11:17:00,0.5
11:17:02,0.5
11:17:04,1.0
11:17:06,1.0
11:17:08,1.0
11:17:10,1.0
11:17:12,1.0
11:17:14,1
11:17:16,0.5
11:17:18,1.0
11:17:20,1
11:17:22,1
11:17:24,0.5
11:17:26,0.5
11:17:28,0
11:17:30,0.5
11:17:32,1.0
11:17:34,1.0
11:17:36,1
11:17:38,0.5
11:17:40,0
11:17:42,0
11:17:44,0
11:17:46,0
11:17:48,0
11:17:50,0
11:17:52,0
11:17:54,0
11:17:56,0
11:17:58,0
11:18:00,0.5
11:18:02,0
11:18:04,0
11:18:06,0.5
11:18:08,0.5
11:18:10,0.5
11:18:12,0.5
11:18:14,0
11:18:16,0
11:18:18,0
11:18:20,0.5
11:18:22,0.5
11:18:24,0
11:18:26,0
11:18:28,0.5
11:18:30,1.0
11:18:32,1
11:18:34,0.5
11:18:36,0
11:18:38,0
11:18:40,0
11:18:42,0.5
11:18:44,1.0
11:18:46,1
11:18:48,1
11:18:50,1
11:18:52,1
11:18:54,1
11:18:56,1
11:18:59,1
11:19:01,0.5
11:19:03,0.5
11:19:05,1.0
11:19:07,1.0
11:19:09,1.0
11:19:11,1
11:19:13,1
11:19:15,1
11:19:17,1
11:19:19,0.5
11:19:21,0.5
11:19:23,1.0
11:19:25,1.0
11:19:27,0.5
11:19:29,1.0
11:19:31,1.0
11:19:33,1
11:19:35,1
11:19:37,1
11:19:39,0.5
11:19:41,0.5
11:19:43,0.5
11:19:45,0.5
11:19:47,0
11:19:49,0
11:19:51,0.5
11:19:53,1.0
11:19:55,1.0
11:19:57,1
11:19:59,1
11:20:01,1
11:20:03,1
11:20:05,1
11:20:07,1
11:20:09,1
11:20:11,1
11:20:13,1
11:20:15,0.5
11:20:17,1.0
11:20:19,0.5
11:20:21,0.5
11:20:23,1.0
11:20:25,0.5
11:20:27,0.5
11:20:29,0.5
11:20:31,1.0
11:20:33,1.0
11:20:35,1
11:20:37,1
11:20:39,0.5
11:20:41,0.5
11:20:43,0.5
11:20:45,1.0
11:20:47,0.5
11:20:49,0.5
11:20:51,1.0
11:20:53,1.0
11:20:55,0.5
11:20:57,1.0
11:20:59,0.5
11:21:01,0
11:21:03,0
11:21:05,0
11:21:07,0.5
11:21:09,0
11:21:11,0
11:21:13,0
11:21:15,0
11:21:17,0
11:21:19,0.5
11:21:21,0.5
11:21:23,1.0
11:21:25,1.0
11:21:27,0.5
11:21:29,1.0
11:21:31,1.0
11:21:33,1
11:21:35,1
11:21:37,1
11:21:39,0.5
11:21:41,0.5
11:21:43,0.5
11:21:45,1.0
11:21:47,1
11:21:49,1
11:21:51,1
11:21:53,1
11:21:55,1
11:21:57,1
11:21:59,1
11:22:01,1
11:22:03,1
11:22:05,1
11:22:07,1
11:22:09,0.5
11:22:11,0.5
11:22:13,1.0
11:22:15,0.5
11:22:17,0.5
11:22:19,1.0
11:22:21,1.0
11:22:23,1
11:22:25,1
11:22:27,1
11:22:29,1
11:22:31,1
11:22:33,1
11:22:35,1
11:22:37,1
11:22:39,0.5
11:22:41,0
11:22:43,0
11:22:45,0
11:22:47,0
11:22:49,0
11:22:51,0
11:22:53,0
11:22:55,0
11:22:57,0.5
11:22:59,1.0
11:23:01,1.0
11:23:03,1.0
11:23:05,1
11:23:07,0.5
11:23:09,0
11:23:11,0
11:23:14,0
11:23:16,0
11:23:18,0
11:23:20,0.5
11:23:22,0.5
11:23:24,0.5
11:23:26,1.0
11:23:28,1
11:23:30,1
11:23:32,1
11:23:34,1
11:23:36,0.5
11:23:38,0.5
11:23:40,0
11:23:42,0
11:23:44,0.5
11:23:46,1.0
11:23:48,1.0
11:23:50,0.5
11:23:52,0.5
11:23:54,0.5
11:23:56,1.0
11:23:58,1
11:24:00,1
11:24:02,1
11:24:04,1
11:24:06,1
11:24:08,1
11:24:10,1
11:24:12,0.5
11:24:14,0.5
11:24:16,1.0
11:24:18,1.0
11:24:20,1
11:24:22,1
11:24:24,1
11:24:26,1
11:24:28,1
11:24:30,1
11:24:32,0.5
11:24:34,0.5
11:24:36,0
11:24:38,0
11:24:40,0
11:24:42,0
11:24:44,0.5
11:24:46,0
11:24:48,0
11:24:50,0
11:24:52,0
11:24:54,0.5
11:24:56,0.5
11:24:58,1.0
11:25:00,1
11:25:02,0.5
11:25:04,1.0
11:25:06,1.0
11:25:08,1
11:25:10,1
11:25:12,1
11:25:14,1
11:25:16,0.5
11:25:18,0.5
11:25:20,0
11:25:22,0
11:25:24,0
11:25:26,0.5
11:25:28,1.0
11:25:30,0.5
11:25:32,0.5
11:25:34,0.5
11:25:36,1.0
11:25:38,1.0
11:25:40,1.0
11:25:42,0.5
11:25:44,0
11:25:46,0
11:25:48,0
11:25:50,0
11:25:52,0
11:25:54,0
11:25:56,0
11:25:58,0
11:26:00,0
11:26:02,0.5
11:26:04,0.5
11:26:06,1.0
11:26:08,1.0
11:26:10,1.0
11:26:12,1.0
11:26:14,1.0
11:26:16,1
11:26:18,1
11:26:20,1
11:26:22,1
11:26:24,1
11:26:26,1
11:26:28,1
11:26:30,1
11:26:32,1
11:26:34,1
11:26:36,1
11:26:38,1
11:26:40,1
11:26:42,1
11:26:44,0.5
11:26:46,1.0
11:26:48,1.0
11:26:50,1
11:26:52,1
11:26:54,1
11:26:56,1
11:26:58,1
11:27:00,1
11:27:02,0.5
11:27:04,1.0
11:27:06,1.0
11:27:08,0.5
11:27:10,0.5
11:27:12,0.5
11:27:14,0.5
11:27:16,0
11:27:18,0
11:27:20,0
11:27:22,0
11:27:24,0
11:27:26,0
11:27:28,0.5
11:27:31,0
11:27:33,0
11:27:35,0
11:27:37,0
11:27:39,0
11:27:41,0
11:27:43,0
11:27:45,0
11:27:47,0
11:27:49,0
11:27:51,0
11:27:53,0
11:27:55,0.5
11:27:57,0.5
11:27:59,0
11:28:01,0
11:28:03,0
11:28:05,0
11:28:07,0
